Nº Registro;Denominación;Fecha última modificación;Dirección;Código Postal;Localidad;Provincia;Teléfono;Email;Web;Naturaleza;Ambito Sectorial;Destinatarios
A-0299;ASOCACION ESCUELA DE ANIMACION Y TIEMPO LIBRE PANDORA;17/03/16;PASEO ZORRILLA 183;47008;VALLADOLID;VALLADOLID;635 818631;escuelapandora@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;
A-0300;ASOCIACION DEMOCRATICA DE PENSIONISTAS Y JUBILADOS U.D.P.;21/04/14;PLAZA PORTUGALETE 4;47002;VALLADOLID;VALLADOLID;983 203506;udpvalladolid@telefonica.net;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0301;FEDERACIÓN PROVINCIAL DE PERSONAS CON DISCAPACIDAD FÍSICA U ORGÁNICA DE LEÓN (COCEMFE-LEON);24/11/20;BAJOS DEL ESTADIO TORALIN, Nº 3;24400;PONFERRADA;LEON;616 631141;cocemfeleon@gmail.com;www.cocemfeleon.es;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;
A-0302;ONGAWA INGENIERIA PARA EL DESARROLLO HUMANO;01/07/14;CALLE  15 2º VIZCONDE DE MATAMALA, 15-2º;28028;MADRID;MADRID;91 5900190;info@ongawa.org;www.ongawa.org;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, COOPERACION AL DESARROLLO;POBLACIÓN GENERAL, VOLUNTARIADO
A-0303;ASOCIACIÓN DE ATAXIAS DE CASTILLA Y LEÓN (ASATCAL);24/11/20;CALLE FRAY LUIS DE LEON 23;47002;VALLADOLID;VALLADOLID;672 155973;pian8@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL, ENFERMEDAD FÍSICA
A-0304;ASOCIACION DE FAMILIARES Y PERSONAS DEPENDIENTES "ALTA SIERRA DE PINARES";17/05/19;CALLE FUENTE 2;09670;QUINTANAR DE LA SIERRA;BURGOS;653 147039;dependientes.pinares@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA, ENFERMEDAD FÍSICA, ENFERMEDAD MENTAL
A-0305;ASOC. DE MUJERES LA RONDILLA;16/09/20;C/ MARQUES DE SANTILLANA, 4 BAJO;47010;VALLADOLID;VALLADOLID;983 268561;asomujerondilla@yahoo.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, CULTURALES, DESARROLLO DE LA VIDA ASOCIATIVA, OCIO Y TIEMPO LIBRE;(MUJER), POBLACIÓN GENERAL
A-0306;ASOCIACIÓN ACCIÓN EN RED EN CASTILLA Y LEÓN;04/08/17;BARRIADA INMACULADA BLOQUE J 1;09007;BURGOS;BURGOS;610 341488;accionenredcyl@yahooo.es;www.accionenredcyl.org;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, DEFENSA DE LOS DERECHOS HUMANOS;INFANCIA, (MUJER), JUVENTUD, VOLUNTARIADO
A-0307;ASOCIACIÓN DE ALCOHÓLICOS REHABILITADOS DE LA BAÑEZA - ARBA;25/11/20;C/ Ángel Riesco nº2-1ª planta;24750;BAÑEZA (LA);LEON;987 655293;correoarba@hotmail.com;www.asociacionarba.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;TOXICOMANÍAS Y ADICCIONES, VOLUNTARIADO
A-0308;SOCIEDAD SAN VICENTE DE PAUL-CONSEJO DE ZONA DE LEÓN;13/11/12;CALLE CIPRIANO DE LA HUERGA 4 BAJO IZQDA;24004;LEON;LEON;987 222590;leon@ssvp.es;www.leon.ssvp.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
A-0309;GEMOSCLERA ASOCIACIÓN PARA LA DIFUSIÓN DEL CONOCIMIENTO DE LOS HUMEDALES Y SU CONSERVACIÓN;08/10/12;CALLE COMUNIDAD DE LA RIOJA, 123-2º F;28230;ROZAS DE MADRID (LAS);MADRID;656 315047;info@gemosclera.org;www.gemosclera.org;ASOCIACIÓN;CIENTIFICAS, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;
A-0310;ACTUAL;06/11/14;CARRETERA SAN MIGUEL DE ESCALADA 22;24006;VILLIGUER;LEON;987 313585;normer@bossinformatica.com;;ASOCIACIÓN;PROMOCION DEL MUNDO RURAL, CULTURALES;POBLACIÓN GENERAL
B-0311;AYUNTAMIENTO DE MORALES DEL VINO;03/07/20;CORTINAL, Nº 13;49190;MORALES DEL VINO;ZAMORA;980 570139;;;ADMINISTRACIÓN LOCAL;ACCION SOCIAL Y SERVICIOS SOCIALES, PROMOCION DEL MUNDO RURAL, CULTURALES;POBLACIÓN GENERAL, VOLUNTARIADO
A-0312;ASOCIACION JUVENIL NIARA;04/12/12;CALLE BARCELONA 6;47008;VALLADOLID;VALLADOLID;983 357158;juntadirectiva@niara.es;www.niara.es;ASOCIACIÓN;CULTURALES, EDUCATIVAS;JUVENTUD, VOLUNTARIADO
A-0313;FUNDACION TRIANGULO;18/11/14;PLAZA OCHAVO 2 1º D;47001;VALLADOLID;VALLADOLID;91 5930540;valladolid@fundaciontriangulo.es;www.fundaciontriangulo.es;FUNDACIÓN;EDUCATIVAS, DESARROLLO DE LA VIDA ASOCIATIVA, DEFENSA DE LOS DERECHOS HUMANOS;POBLACIÓN GENERAL, VOLUNTARIADO
A-0314;SCOUTS DE CASTILLA Y LEÓN - MSC;24/11/20;CALLE GONZALEZ DUEÑAS 1;47010;VALLADOLID;VALLADOLID;629 848071;sede@scoutscyl.org;;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, PROMOCION DEL MUNDO RURAL, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE, DESARROLLO DE LA VIDA ASOCIATIVA, OCIO Y TIEMPO LIBRE, COOPERACION AL DESARROLLO;INFANCIA, JUVENTUD, VOLUNTARIADO
A-0315;FUNDACION RED INCOLA;21/11/14;CALLE RUIZ HERNANDEZ 10;47002;VALLADOLID;VALLADOLID;983 307083;voluntariado@redincola.org;www.redincola.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;POBLACIÓN GENERAL, VOLUNTARIADO
A-0316;ASOCIACION DE AYUDA EN SALAMANCA (ASDEAS);02/04/13;PLAZA DE SAN VICENTE, LOCAL Nº 8;37007;SALAMANCA;SALAMANCA;637 577906;ayusalong@gmail.com;www.ayusal.blogspot.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL, POBLACIÓN GENERAL
A-0317;ASOCIACIÓN DE ALZHEIMER ALCORDANZA DE VALENCIA DE DON JUAN;18/09/17;PLAZA SALVADOR S/N CASA DE CULTURA;24200;VALENCIA DE DON JUAN;LEON;616 114737;asociacion.alcordanza@gmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
A-0318;ASOCIACIÓN SOCIEDAD ABULENSE PROTECTORA DE ANIMALES Y PLANTAS "HUELLAS";26/11/20;CARRETERA EL ESCORIAL KM. 4;05004;AVILA;AVILA;685 840066;info@protectorahuellas.org;www.protectorahuellas.org;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;JUVENTUD, POBLACIÓN GENERAL
A-0319;FUNDACION RESIDENCIA DE ANCIANOS ROVIRA TARAZONA;21/09/15;CARRETERA RIOFRIO S/N;40500;RIAZA;SEGOVIA;921 550389;robertoperez@icam.es;www.residenciariaza.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0320;FUNDACION ALCANDARA;22/10/19;CARRETERA ALBA DE TORMES KM 2;37188;CARBAJOSA DE LA SAGRADA;SALAMANCA;923 219980;administracion@proyectohombresalamanca.es;www.proyectohombresalamanca.es;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;TOXICOMANÍAS Y ADICCIONES
B-0321;INSTITUTO PROVINCIAL PARA EL DEPORTE Y JUVENTUD DE BURGOS;04/11/19;AVENIDA DE LA PAZ 34 ENTREPLANTA;09004;BURGOS;BURGOS;947 258650;mmoral@diputaciondeburgos.es;www.idj.burgos.es;PATRONATO DE ENTIDADES SIN FIN DE LUCRO PÚBLICAS;DEPORTIVAS, PROMOCION DEL MUNDO RURAL, FOMENTO DEL VOLUNTARIADO, OCIO Y TIEMPO LIBRE;JUVENTUD
A-0322;ASOCIACION DE VOLUNTARIOS Y VOLUNTARIAS "EL REDONDAL";04/08/17;CALLE ANGEL PESTAÑA 15;24300;BEMBIBRE;LEON;645 269252;llamas_58@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;POBLACIÓN GENERAL
A-0323;ASOCIACIÓN CELIACA DE CASTILLA Y LEÓN - ACECALE;24/11/20;CALLE CLAUDIO MOYANO, 4, PLANTA 5º, OFICINA 1;47001;VALLADOLID;VALLADOLID;983 212652;;;ASOCIACIÓN;DESARROLLO DE LA VIDA ASOCIATIVA;POBLACIÓN GENERAL
A-0324;ALDIS SALUD MENTAL LEÓN;27/09/19;CALLE ALBERQUE (EL) 2;24750;BAÑEZA (LA);LEON;987 580112;aldiscapacidad@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA, DISCAPACIDAD SENSORIAL
A-0325;FUNDACION  SIERRA-PAMBLEY;20/10/15;CALLE SIERRA PAMBLEY 2;24003;LEON;LEON;987 229369;cursos@sierrapambley.org;www.sierrapambley.org;FUNDACIÓN;CIENTIFICAS, CULTURALES, EDUCATIVAS;[PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], JUVENTUD, POBLACIÓN GENERAL
A-0326;CLUB BALONCESTO PALENCIA;17/05/18;CALLE JUAN DE BALMASEDA 9 6º A;34004;PALENCIA;PALENCIA; 6068173;cbpalencia@gmail.com;www.cbpalencia.es;SOCIEDADES;DEPORTIVAS;JUVENTUD
A-0327;ASOCIACIÓN PLATAFORMA MIRANDESA DE VOLUNTARIADO;11/07/19;CALLE CHARCA 10 BAJO;09200;MIRANDA DE EBRO;BURGOS; 6056885;voluntariadomiranda@hotmail.com;http:plataformamirandesadevoluntariado.blogspot.com.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;VOLUNTARIADO
A-0328;ASOCIACIÓN DE VECINOS PUERTA DEL ALCAZAR "AVEPA";26/11/20;PLAZA CLAUDIO SANCHEZ ALBORNOZ;05001;AVILA;AVILA; 9202202;asoc-vec-zonacentro@yahoo.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, CULTURALES;POBLACIÓN GENERAL
A-0330;ASOCIACION DE VECINOS ZOES DE SALAMANCA;28/08/14;CALLE VALLE INCLAN 8;37007;SALAMANCA;SALAMANCA;923 220589;zoes@zoes.es;www.zoes.es;ASOCIACIÓN;DEPORTIVAS;POBLACIÓN GENERAL
A-0331;ADORATRICES BURGOS;30/03/21;CALLE VIRGEN DEL SALTERIO 2;09001;BURGOS;BURGOS;947 202316;;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;FOMENTO DEL VOLUNTARIADO;(MUJER)
A-0332;ASOCIACION PARKINSON SALAMANCA;03/12/15;CALLE BAÑEZA (LA) 7;37006;SALAMANCA;SALAMANCA;923 262707;;www.parkinsonsalamanca.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;
A-0333;ASOCIACION SOCIOCULTURAL BERBIQUI;23/02/21;CALLE SAN BRUNO 4 5º C;09007;BURGOS;BURGOS;644 375550;asociacionberbiqui@gmail.com;www.asociacionberbiqui.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, CULTURALES, EDUCATIVAS, DEFENSA DE LOS DERECHOS HUMANOS;POBLACIÓN GENERAL, VOLUNTARIADO
A-0334;ASOCIACION MIRANDESA DE PERSONAS AFECTADAS DE FIBROMIALGIA (AMPAF);29/04/14;PARQUE ANTONIO MACHADO 2 - 1º IZQDA, APDO. CORREOS 98;09200;MIRANDA DE EBRO;BURGOS;947 322005;asociacionampf@yahoo.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;
A-0335;ASOCIACION SALMANTINA DE PACIENTES CON ARTRITIS REUMATOIDE (ASAPAR);03/12/15;CALLE BAÑEZA (LA) 7;37006;SALAMANCA;SALAMANCA;923 180188;asapar2000@yahoo.es;www.asapar.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;
A-0336;FUNDACION ALBERTO JIMENEZ-ARELLANO ALONSO;16/04/19;PLAZA COLEGIO DE SANTA CRUZ 8;47002;VALLADOLID;VALLADOLID;983 184530;fundacion.jimenez-arellano@uva.es;www.fundacionjimenezarellano.com;FUNDACIÓN;CULTURALES, EDUCATIVAS, DEFENSA DEL PATRIMONIO HISTORICO Y ARTISTICO;INFANCIA, JUVENTUD, VOLUNTARIADO
A-0337;FUNDACION NUESTRA SEÑORA DE LA ASUNCION;05/09/16;CALLE HOSPITAL 3;37720;PUERTO DE BEJAR;SALAMANCA;923 414011;josesanchezmartin89@gmail.com;;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;
A-0338;ASOCIACION QUE LA SIERRA BAILE;05/09/14;CALLE NORTE 32;09614;TOLBAÑOS DE ARRIBA;BURGOS; 6999363;demandafolk@gmail.com;www.demandafolk.com;ASOCIACIÓN;CULTURALES;
A-0339;ASOCIACION NUEVO FUTURO BURGOS;10/09/14;CALLE MADRID 2 1º;09002;BURGOS;BURGOS;947 262760;burgos@nuevofuturo.org;www.nuevofuturo.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS;INFANCIA, JUVENTUD
A-0340;FUNDACION DE FAMILIAS MONOPARENTALES "ISADORA DUNCAN";03/12/15;AVENIDA REINO DE LEON 12 E1, 1º;24006;LEON;LEON;987 261449;info@isadoraduncan.es;www.isadoraduncan.es;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;(MUJER), [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], INFANCIA, JUVENTUD, VOLUNTARIADO
A-0341;ASOCIACION SERAS MAS;05/10/15;CALLE ALMERIA 3 BAJO;09001;BURGOS;BURGOS;947 6151492;guido@serasmas.com;wwwserasmas.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS, OCIO Y TIEMPO LIBRE;
A-0342;ASOCIACION UNION GITANA BURGOS;22/11/18;CALLE PADRE MELCHOR PRIETO 37 4º;09005;BURGOS;BURGOS; 6666353;uniongitanaburgos@hotmail.com;;ASOCIACIÓN;DEFENSA DE LOS DERECHOS HUMANOS;
A-0343;CARITAS DIOCESANA DE CIUDAD RODRIGO;22/08/19;CALLE DIEZ TARAVILLA 4-6;37500;CIUDAD-RODRIGO;SALAMANCA;923 460293;cd.ciudadrodrigo@caritas.es;www.caritas.es/ciudadrodrigo;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES;
A-0344;ASOCIACION BURGALESA DE OCIO Y ANIMACION - ABOA;02/12/15;PLAZA ALONSO MARTINEZ 7A  - 51;09003;BURGOS;BURGOS;616 666323;abaotiempolibre@gmail.com;www.abaotiempolibre.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;
A-0345;GRUPO DE INVESTIGACION EN ACTIVIDAD FISICA Y SALUD GIAFYS;28/03/19;CALLE GREGORIO SOLABARRIETA 25;09200;MIRANDA DE EBRO;BURGOS; 6098043;info@giafys.es;www.giafys.es;ASOCIACIÓN;SANITARIAS;ENFERMEDAD FÍSICA, POBLACIÓN GENERAL
A-0346;CLUB DEPORTIVO CORAZÓN DE MARÍA;01/12/20;CARRETERA  18;49026;ZAMORA;ZAMORA;980 525756;cdratazamora@hotmail.com;www.elcora.org;ASOCIACIÓN;DEPORTIVAS;
A-0347;ASOCIACION ESPAÑOLA DE MEDIACION;21/01/15;CALLE AZAFRANAL 17-19;37001;SALAMANCA;SALAMANCA; 6067861;presidente@asemed.org;www.asemed.org;ASOCIACIÓN;PROTECCION DE CONSUMIDORES Y USUARI0S;
A-0348;FUNDACION ALTER;22/01/15;CALLE CALLEJA Y ZURITA 17;09002;BURGOS;BURGOS;947 040370;info@fundacionalter.org;www.fundacionalter.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;
A-0349;FUNDACION EUSEBIO SACRISTAN PARA EL DESARROLLO DEL DEPORTE LA EDUCACION Y LA CULTURA;17/08/20;CALLE PADRE JULIO CHEVALIER 2;47012;VALLADOLID;VALLADOLID;666 500835;admin@fundacioneusebiosacristan.es;;FUNDACIÓN;DEPORTIVAS, CULTURALES, EDUCATIVAS, OCIO Y TIEMPO LIBRE;INFANCIA, JUVENTUD, PERSONAS MAYORES
A-0350;ASESORAMIENTO, INVESTIGACION Y RENOVACION EDUCATIVA (ASIRE);01/04/19;CALLE VITORIA 41 6º DCHA;09006;BURGOS;BURGOS; 6993477;asirecorreo@gmail.com;www.asire.es;ASOCIACIÓN;EDUCATIVAS;JUVENTUD
A-0351;CLUB DEPORTIVO CRISTO REY BARRIO VIDAL;12/04/19;CALLE CAÑAS 9 LOCAL;37004;SALAMANCA;SALAMANCA;923 191128;;http://cdcristorey.webnode.es;ASOCIACIÓN;DEPORTIVAS;JUVENTUD
A-0352;ASOCIACIÓN PROTECTORA MINUSVÁLIDOS PSÍQUICOS VIRGEN DE LA VEGA - ASPROSUB BENAVENTE;26/03/21;CAMINO DE LOS SALADOS, S/N;49600;BENAVENTE;ZAMORA;980 632663;gerencia@asprosub.org;www.asprosub.org;ASOCIACIÓN;DEPORTIVAS, OCIO Y TIEMPO LIBRE;DISCAPACIDAD PSIQUICA, DISCAPACIDAD SENSORIAL
A-0353;CLUB DEPORTIVO CHAMBERI;12/04/19;AVENIDA AVDA. LUIS CORTES S/N;37008;SALAMANCA;SALAMANCA;923 192210;CDFCHAMBERI@YAHOO.ES;;ASOCIACIÓN;DEPORTIVAS;
A-0354;ASOCIACIÓN DE ALCOHÓLICOS REHABILITADOS DE MIRANDA DE EBRO (AREMI);25/11/20;CALLE ALMACENES 16 bajo;09200;MIRANDA DE EBRO;BURGOS;947 331858;aremi@aremi.es;www.aremi.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;
A-0355;ASOCIACION TDA-H PALENCIA;29/08/18;CALLE QUITO S/N (CENTRO SOCIAL MUNICIPAL "PAN Y GUINDAS");34003;PALENCIA;PALENCIA;979 110330;info@tdah-palencia.es;www.tdah-palencia.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;POBLACIÓN GENERAL
A-0356;CLUB DEPORTIVO SALESIANOS SALAMANCA;01/12/20;CARRETERA LEDESMA 32-52 BAJO;37006;SALAMANCA;SALAMANCA;923 193243;salesi@salesi.org.;www.salesi.org;ASOCIACIÓN;DEPORTIVAS, EDUCATIVAS;INFANCIA, JUVENTUD
A-0357;CLUB DEPORTIVO TRINITARIOS;01/12/20;CALLE TOMILLAR 8-12. 3º H;37006;SALAMANCA;SALAMANCA; 6066409;jsanchezlucas@telefonica.net;;ASOCIACIÓN;DEPORTIVAS, OCIO Y TIEMPO LIBRE;INFANCIA, JUVENTUD
B-0358;UNIVERSIDAD DE SALAMANCA;20/01/21;CALLE PATIO DE ESCUELAS, 1;37008;SALAMANCA;SALAMANCA;923 244430;;http://sas.usal.es;ADMINISTRACIÓN AUTONÓMICA;EDUCATIVAS;JUVENTUD, VOLUNTARIADO
A-0359;ASOCIACIÓN DE TERAPIA ASISTIDA CON ANIMALES "EQUICAN";26/11/20;CALLE RIO CHICO 14 VIVIENDA 80;05004;AVILA;AVILA;686 734721;asociacionequican@gmail.com;www.asociacionequican.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL, DISCAPACIDAD PSIQUICA, INFANCIA, DISCAPACIDAD SENSORIAL, PERSONAS MAYORES
A-0360;ASOCIACION DINAMIKA;13/09/17;CALLE PLATEROS 19 BAJO;37006;SALAMANCA;SALAMANCA;923 123119;info@asociaciondinamika.org;www.asociaciondinamika.org;ASOCIACIÓN;EDUCATIVAS, OCIO Y TIEMPO LIBRE;JUVENTUD, POBLACIÓN GENERAL
A-0361;REAL SALAMANCA MONTERREY C.F.;19/05/20;AVENIDA CARLOS I S/N (CAMPO REINA SOFIA);37008;SALAMANCA;SALAMANCA;923 283877;info@realsalamancamonterrey.es;www.realsalamancamonterrey.es;ASOCIACIÓN;DEPORTIVAS, EDUCATIVAS;INFANCIA, JUVENTUD
A-0362;ASOCIACION DE EMERGENCIA SOCIAL CAJAS SOLIDARIAS;11/12/15;CALLE ESCUELA 1 BAJO B;37188;CARBAJOSA DE LA SAGRADA;SALAMANCA; 6356187;cajaxsolidaria@gmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
A-0363;ASOCIACION DE DAÑO CEREBRAL ADQUIRIDO DE VALLADOLID "CAMINO";30/12/15;PASEO JUAN CARLOS I, Nº10 (HOSPITAL BENITO MENNI);47013;VALLADOLID;VALLADOLID;983 157012;info@caminodca.or;www.caminodca.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, SANITARIAS;DISCAPACIDAD PSIQUICA
A-0364;ASOCIACIÓN UNIDAD CANINA DE RESCATE Y SALVAMENTO  UCAS DE ARRATE;12/12/17;CALLE CANTON 7;09280;CUBO DE BUREBA;BURGOS;629 894590;UNIDADCANINAARRATE@HOTMAIL.ES;WWW.UCASDEARRATE.COM;ASOCIACIÓN;EMERGENCIAS Y PROTECCION CIVIL;POBLACIÓN GENERAL
A-0365;ASOCIACION DE SALUD MENTAL DE BURGOS (ASAM - BURGOS);03/12/15;AVENIDA DE LA PAZ 17-4º B;09004;BURGOS;BURGOS;620 489065;diezdiezm@gmail.com    info@asamburgos.org;www.asamburgos.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, OCIO Y TIEMPO LIBRE;EXCLUSION SOCIAL, DISCAPACIDAD PSIQUICA, JUVENTUD, ENFERMEDAD MENTAL, TOXICOMANÍAS Y ADICCIONES, ENFERMEDAD FÍSICA
A-0366;ASOCIACIÓN SÍNDROME DE DOWN (ASDOVA);26/11/20;PLAZA URUGUAY S/N;47014;VALLADOLID;VALLADOLID;983 228516;downvalladolid@downcastillayleon.com;www.downvalladolid.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;DISCAPACIDAD PSIQUICA, ENFERMEDAD FÍSICA
A-0367;ASOCIACION HECHOS;16/01/18;CALLE MOLINO SALINAS 3bajo.;09007;BURGOS;BURGOS;947 202373;info@hechos.eu;www.hechos.eu;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;EXCLUSION SOCIAL, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS]
A-0368;CLUB SALAMANCA CANOE KAYAK;26/12/17;PLAZA FUENTE 4 6º B;37002;SALAMANCA;SALAMANCA;;clubsalamancacanoekayak@gmail.com;;ASOCIACIÓN;DEPORTIVAS;INFANCIA, JUVENTUD
A-0369;ASOCIACIÓN DE PADRES, FAMILIARES Y AMIGOS DE NIÑOS ONCOLÓGICOS DE CASTILLA Y LEÓN (PYFANO);24/11/20;CALLE VAGUADA DE LA PALMA 6;37008;SALAMANCA;SALAMANCA;923 070023;info@pyfano.es;www.pyfano.org.es;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO;INFANCIA, JUVENTUD, VOLUNTARIADO
A-0370;ASOCIACION ZAMORANA CONTRA LA VIOLENCIA (AZAVI);25/02/16;AVENIDA VICTOR GALLEGO 32;47009;ZAMORA;ZAMORA;600 973551;azavi2014@gmail.com;www.zavizamora.wordpress.com;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO;
A-0371;CLUB DEPORTIVO NAVEGA DE SALAMANCA;01/12/20;CALLE AMAPOLAS 17 BAJO;37004;SALAMANCA;SALAMANCA;923 232785;secretariacdnavega@gmail.com;www.cdnavega.com;ASOCIACIÓN;DEPORTIVAS;INFANCIA, JUVENTUD
A-0372;ASOCIACIÓN BOREAL DE LUCHA CONTRA LA DROGA Y AYUDA AL DROGADICTO;26/11/20;CALLE RONDA DEL FERROCARRIL 65 BAJO;09200;MIRANDA DE EBRO;BURGOS;947 331983;borealmiranda@yahoo.es;www.asociacionboreal.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, SANITARIAS;TOXICOMANÍAS Y ADICCIONES, VOLUNTARIADO
A-0373;C.D. BALONCESTO VENTA DE BAÑOS;30/07/19;AVENIDA VALLADOLID 25;34200;VENTA DE BAÑOS;PALENCIA;979 180170;cd_bvb@basketventa.com;www.basketventa.com;ASOCIACIÓN;DEPORTIVAS;INFANCIA, JUVENTUD
A-0374;FEDERACIÓN DE ASOCIACIONES VECINALES "ANTONIO MACHADO";25/11/20;CALLE ANDRES DE LAORDEN S/N;47003;VALLADOLID;VALLADOLID;983 305148;fderacion@vecinosvalladolid.org;www.vecinosvalladolid.org;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;POBLACIÓN GENERAL, VOLUNTARIADO
A-0375;CLUB DEPORTIVO FÚTBOL HELMÁNTICO;01/12/20;CALLE BODEGONES 3 BAJO (BAR SORGO¿S);37001;SALAMANCA;SALAMANCA;923 201682;cdfhelmantico@cdfhelmantico.com;www.cdfhelmantico.com;ASOCIACIÓN;DEPORTIVAS, EDUCATIVAS;INFANCIA, JUVENTUD
A-0376;ASOCIACIÓN CAMPUS DE MÚSICA VILLA DE EL TIEMBLO;26/11/20;CALLE CERVANTES 3;05270;TIEMBLO (EL);AVILA;661 743786;info@campusdemusicaeltiemblo.com;www.campusdemusicavilladeeeltiemblo.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, CULTURALES, EDUCATIVAS;EXCLUSION SOCIAL, JUVENTUD
A-0377;ASOCIACIÓN DE MUJERES PROGRESISTAS BERCIANAS;05/12/18;CALLE AURELIANO QUINDÓS GÓMEZ, 15 FUENTES NUEVAS;24411;PONFERRADA;LEON;987 428318;ampb29@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;EXCLUSION SOCIAL, (MUJER)
A-0378;FUNDACIÓN PROVINCIAL DEPORTIVA VÍCTOR SASTRE;26/11/20;CALLE JOSE MARIA JIMENEZ "CHAVA" 13;05110;BARRACO (EL);AVILA;637 305061;carlos220475@gmail.com;www.fundacionpdvictorsastre.com;FUNDACIÓN;DEPORTIVAS;JUVENTUD, VOLUNTARIADO
